tau,QOCO,QOCO-GPU,CuClarabel,Mosek
0.001,0.0,0.0,0.0,0.0
0.0010041672594514578,0.0,0.0,0.0,0.0
0.0010083518849542525,0.0,0.0,0.0,0.0
0.0010125539488772233,0.0,0.0,0.0,0.0
0.0010167735238907928,0.0,0.0,0.0,0.0
0.0010210106829682199,0.0,0.0,0.0,0.0
0.0010252654993868587,0.0,0.0,0.0,0.0
0.0010295380467294322,0.0,0.0,0.0,0.0
0.0010338283988853018,0.0,0.0,0.0,0.0
0.0010381366300517422,0.0,0.0,0.0,0.0
0.0010424628147352299,0.0,0.0,0.0,0.0
0.0010468070277527297,0.0,0.0,0.0,0.0
0.0010511693442329848,0.0,0.0,0.0,0.0
0.0010555498396178223,0.0,0.0,0.0,0.0
0.0010599485896634557,0.0,0.0,0.0,0.0
0.00106436567044179,0.0,0.0,0.0,0.0
0.0010688011583417458,0.0,0.0,0.0,0.0
0.0010732551300705756,0.0,0.0,0.0,0.0
0.0010777276626551878,0.0,0.0,0.0,0.0
0.0010822188334434853,0.0,0.0,0.0,0.0
0.0010867287201056994,0.0,0.0,0.0,0.0
0.0010912574006357305,0.0,0.0,0.0,0.0
0.001095804953352503,0.0,0.0,0.0,0.0
0.0011003714569013166,0.0,0.0,0.0,0.0
0.0011049569902552032,0.0,0.0,0.0,0.0
0.0011095616327162984,0.0,0.0,0.0,0.0
0.0011141854639172117,0.0,0.0,0.0,0.0
0.0011188285638223975,0.0,0.0,0.0,0.0
0.0011234910127295474,0.0,0.0,0.0,0.0
0.0011281728912709737,0.0,0.0,0.0,0.0
0.0011328742804150012,0.0,0.0,0.0,0.0
0.0011375952614673752,0.0,0.0,0.0,0.0
0.0011423359160726587,0.0,0.0,0.0,0.0
0.0011470963262156522,0.0,0.0,0.0,0.0
0.0011518765742228082,0.0,0.0,0.0,0.0
0.001156676742763651,0.0,0.0,0.0,0.0
0.0011614969148522143,0.0,0.0,0.0,0.0
0.0011663371738484724,0.0,0.0,0.0,0.0
0.0011711976034597792,0.0,0.0,0.0,0.0
0.0011760782877423216,0.0,0.0,0.0,0.0
0.0011809793111025714,0.0,0.0,0.0,0.0
0.0011859007582987397,0.0,0.0,0.0,0.0
0.0011908427144422511,0.0,0.0,0.0,0.0
0.0011958052649992115,0.0,0.0,0.0,0.0
0.0012007884957918825,0.0,0.0,0.0,0.0
0.001205792493000173,0.0,0.0,0.0,0.0
0.0012108173431631263,0.0,0.0,0.0,0.0
0.0012158631331804118,0.0,0.0,0.0,0.0
0.001220929950313837,0.0,0.0,0.0,0.0
0.0012260178821888515,0.0,0.0,0.0,0.0
0.0012311270167960594,0.0,0.0,0.0,0.0
0.0012362574424927477,0.0,0.0,0.0,0.0
0.001241409248004412,0.0,0.0,0.0,0.0
0.0012465825224262856,0.0,0.0,0.0,0.0
0.0012517773552248887,0.0,0.0,0.0,0.0
0.0012569938362395718,0.0,0.0,0.0,0.0
0.0012622320556840653,0.0,0.0,0.0,0.0
0.0012674921041480477,0.0,0.0,0.0,0.0
0.0012727740725987082,0.0,0.0,0.0,0.0
0.0012780780523823157,0.0,0.0,0.0,0.0
0.0012834041352258066,0.0,0.0,0.0,0.0
0.0012887524132383678,0.0,0.0,0.0,0.0
0.0012941229789130244,0.0,0.0,0.0,0.0
0.0012995159251282485,0.0,0.0,0.0,0.0
0.0013049313451495605,0.0,0.0,0.0,0.0
0.0013103693326311386,0.0,0.0,0.0,0.0
0.001315829981617446,0.0,0.0,0.0,0.0
0.0013213133865448545,0.0,0.0,0.0,0.0
0.001326819642243271,0.0,0.0,0.0,0.0
0.0013323488439377894,0.0,0.0,0.0,0.0
0.0013379010872503294,0.0,0.0,0.0,0.0
0.001343476468201289,0.0,0.0,0.0,0.0
0.001349075083211212,0.0,0.0,0.0,0.0
